eigenaar;koper;beschrijving;stijl;vraagprijs;verkoopprijs;oppervlakte;tuin;verdiepingen;slaapkamers;afwerkingsniveau;bouwjaar
Manon Hermans;Alice Hardy;Praesentium eum repellendus nemo beatae ab distinctio voluptatem laboriosam.;halfopen;366000;332000.0;154.0;11.0;2;2;4;1929
Fien Cornelis;Charlotte Meunier;Eligendi pariatur non voluptatem est est aut nihil et.;halfopen;233000;218000.0;123.0;0.0;2;4;1;1966
Laure Van den Broeck;;Cupiditate sit tenetur numquam dolore.;hoeve;1017000;917000.0;333.0;1953.0;1;6;2;2011
Finn Grégoire;Janne Mertens;Repellendus et incidunt aspernatur aspernatur.;appartement;402000;371000.0;117.0;30.0;1;1;5;1868
Femke Jacquet;;Repellat quae voluptatem omnis necessitatibus.;landelijk;816000;750000.0;206.0;728.0;1;4;5;1980
Ethan Verhaeghe;;Assumenda nemo consequatur ratione nihil facere dolor voluptatum maiores est.;halfopen;657000;;228.0;147.0;2;4;4;1947
Lana Gilles;Maëlle Noël;Ducimus enim molestias est officia delectus quisquam sed atque assumenda.;hoeve;268000;258000.0;90.0;5299.0;1;3;3;2024
Lola Lambert;Jelle Georges;Ut vel quia aut qui est.;open;442000;414000.0;142.0;192.0;2;4;3;1979
Lana Lauwers;Benjamin Lambrechts;Soluta ab ut molestias laudantium veritatis exercitationem optio distinctio.;halfopen;462000;425000.0;177.0;65.0;2;3;3;1912
Aaron Van Acker;Baptiste Masson;Reprehenderit provident unde similique distinctio est quos consequuntur optio sint.;rijhuis;436000;394000.0;150.0;78.0;2;3;3;2020
Clara Thys;Daan De Greef;Modi officiis aut cupiditate voluptas dolorem quis voluptate velit aut.;open;609000;564000.0;232.0;221.0;2;2;4;1865
Lisa Cools;Quinten Leclercq;Ut qui expedita omnis recusandae.;landelijk;528000;;161.0;1708.0;2;4;3;1946
Yasmine Stevens;Elisa Bogaert;Pariatur fuga rem nostrum et maxime dignissimos cupiditate qui.;landelijk;548000;500000.0;186.0;2463.0;2;3;4;1952
Merel Diallo;Alice Charlier;Voluptas est enim quasi amet consequatur nisi autem.;open;822000;;222.0;794.0;3;3;4;1912
Mathéo Geerts;Sarah Servais;Sed maiores facilis quo ad natus recusandae beatae eveniet dolor.;open;998000;975000.0;287.0;423.0;2;4;2;1949
Alice De Smet;Amber Bosmans;Iure beatae aspernatur ullam reiciendis non.;villa;1209000;;358.0;557.0;2;6;1;2011
Noé Bourgeois;Lina Denis;Architecto quos temporibus ut error hic aut minima est.;landelijk;405000;376000.0;125.0;1417.0;2;2;3;2019
Jelle Poncelet;Clémence Charlier;Sint doloribus est ab tenetur omnis quasi eaque.;landelijk;639000;585000.0;243.0;200.0;3;4;3;2012
Lisa Ceulemans;Ella Bertrand;Libero nemo at dignissimos rerum ut dolore.;landelijk;265000;242000.0;90.0;2474.0;2;2;3;2022
Jeanne Bosmans;Alexia Piette;Quasi ipsa incidunt illo sit voluptas.;appartement;229000;224000.0;95.0;6.0;1;2;2;1904
Robin Coppens;Eloïse Marchal;Laborum fugit eaque voluptatem necessitatibus a earum omnis.;rijhuis;592000;546000.0;166.0;174.0;2;4;4;2023
Lotte Collignon;;Facere unde possimus aut voluptatem perferendis magnam quae.;open;457000;428000.0;147.0;275.0;2;4;2;1926
Romane Van Dyck;Rania Bodart;Ea consequatur qui consectetur tenetur doloremque.;landelijk;696000;640000.0;222.0;560.0;2;4;2;1944
Kato Rousseau;Yasmine Pieters;Officiis pariatur placeat nemo aut nesciunt officiis.;open;655000;630000.0;194.0;672.0;2;3;2;2013
Lore Bernard;;Qui praesentium commodi a aut.;landelijk;1058000;979000.0;328.0;1468.0;2;5;4;1992
Helena Claessens;;Accusantium in id facilis nesciunt veniam quam dolores dolores.;villa;791000;744000.0;213.0;706.0;3;3;2;1971
Mohammed Legrand;Finn Bah;Ipsa qui odit minima dolore voluptas soluta odit nihil.;villa;779000;706000.0;162.0;900.0;2;5;4;2017
Salma Peeters;Alessio Baert;Ullam placeat esse quis quia quaerat omnis.;villa;306000;279000.0;91.0;100.0;3;3;1;2025
Niels Wauters;Hugo Gilson;Tempore velit et sunt unde recusandae nostrum fugit rerum.;villa;601000;557000.0;178.0;409.0;3;4;2;1949
Lina Van Hoof;Janne Schmitz;Est iste nostrum dolores placeat quos.;hoeve;863000;;258.0;2745.0;1;4;2;2017
Lana Martens;;Sit nihil illo esse expedita error laborum eum voluptas.;halfopen;765000;686000.0;247.0;85.0;2;4;2;1963
Mohammed Borremans;Océane De Groote;Consequuntur autem quo odit fuga.;rijhuis;372000;348000.0;161.0;0.0;2;4;2;2019
Manon Bourgeois;Noé Thys;Similique minus qui asperiores atque.;open;750000;707000.0;189.0;538.0;2;2;3;2025
Clara Vervoort;Emile Mahieu;Impedit ex ut maiores eos voluptas at ut.;hoeve;422000;;198.0;3925.0;2;5;1;2015
Emma Vandamme;;Voluptas fugiat rem a ut dolorem quas.;appartement;391000;;117.0;40.0;2;1;2;1923
Amber Hajji;;Sunt eaque quia vel facilis ea ab sapiente est.;appartement;343000;328000.0;133.0;44.0;1;3;1;2018
Fien Bernard;Kato Masson;Ut ratione eaque dolorem sint.;landelijk;692000;666000.0;276.0;200.0;2;5;3;1932
Alessio Mahieu;Wout Celik;Maiores vitae accusamus in adipisci est in reiciendis vero.;villa;704000;701000.0;218.0;1172.0;2;4;1;2025
Yana Hardy;;Ea cumque quidem asperiores hic earum neque aut.;rijhuis;453000;428000.0;172.0;159.0;2;4;2;2013
Amélie Yildirim;;Harum at tempore nam praesentium.;villa;684000;;192.0;348.0;2;4;2;2022
Malak Lambert;Chiara Van den Bossche;Aperiam hic ipsam unde magni saepe possimus exercitationem.;appartement;274000;237000.0;137.0;22.0;1;3;1;1994
Yana Tran;Jules Libert;Enim repudiandae aliquid voluptatem mollitia ad sed et.;hoeve;323000;304000.0;103.0;4997.0;2;3;3;2024
Victoria Claes;Lukas Willems;Magnam unde sapiente est et est.;villa;1215000;1207000.0;275.0;590.0;2;5;5;2019
Mehdi Pirotte;Hanne Thys;Accusantium laborum distinctio accusamus porro rem magni qui quos et.;appartement;271000;262000.0;109.0;9.0;1;2;1;1990
Lise Aerts;;Earum molestias dolorem et expedita fuga doloremque quam magnam.;rijhuis;393000;369000.0;153.0;0.0;2;3;4;2011
